x,y,p
22.824821,17.491821,
-10.434727,4.134066,
8.846216,-41.97125,
-12.760421,59.936386,
10.510531,-25.575851,
-16.18463,58.590645,
-21.99522,-37.25716,
-33.527504,10.158862,
-1.0762687,62.309223,
33.19294,-20.230362,
-8.4941225,9.373585,
14.768242,-4.469072,
5.2796173,46.253357,
54.262486,-8.391905,
-2.3328695,-24.266115,
28.436617,-3.3212447,
28.43427,17.863256,
-18.587845,0.6672556,
-15.028771,1.0490849,
9.331486,-32.542034,0.0
12.711266,32.04089,
-21.064888,-31.720057,
-9.213246,16.666237,
43.974922,-8.241384,
1.4421048,3.673372,
0.28751242,-3.102232,
-13.135534,-45.699383,
-15.188867,-25.288998,
33.342316,-18.742289,
11.606417,32.560818,
-13.120536,-20.372173,
2.6352863,15.004514,
6.3982234,-26.841057,
-8.0327835,19.213991,
7.394099,-36.582954,
-25.321266,32.553417,
-42.60385,-20.550375,
7.7765803,-46.642265,
-10.571861,17.13141,
-1.3776557,11.723103,
32.52226,-16.544641,
-8.104706,72.72269,
-22.42329,-17.808342,
4.98159,-10.653945,
2.2167609,-23.425108,
-22.375626,58.595253,
7.559146,-24.715132,
-3.0400488,0.05264666,
-39.257317,-25.550344,
18.661715,10.0366125,
61.775917,0.123353325,
-9.579315,9.076457,
3.5924144,4.4302225,
-6.5169797,-8.9070635,
-33.31726,41.507236,
-4.6698294,-14.839026,
21.145403,38.276817,
35.076363,4.5216513,
-1.481042,-54.3654,
-15.920603,1.5841836,
13.408474,-1.7815952,
-9.3073,61.139374,
-17.204865,-44.116222,
-28.675547,-2.510977,
-25.999374,3.2924557,
13.781272,-52.177048,
19.583578,-6.677345,
-7.172159,-10.879052,
-10.718918,54.215176,
3.03595,3.117828,
-35.27696,8.301994,
-17.598232,1.0386481,
-23.376438,-4.474235,
-13.638436,-51.040592,
1.9626412,1.7722545,
34.935146,7.6968517,
-3.8213766,13.839792,
52.24925,-10.051763,
10.480157,61.964237,
-18.177797,-23.69312,
8.653595,-16.530691,
19.177221,6.3398695,
5.6905165,9.89898,
-18.686161,9.331279,
-13.355727,-36.28784,
10.861101,-35.510483,
-12.272973,-52.301365,
-4.391545,-47.18144,
4.316919,-1.6393222,
-31.167492,-16.674717,
22.938711,-9.296834,
-11.794828,-54.19698,
-6.7740827,-18.402765,
-19.577042,-25.3249,
-7.9050426,-13.27892,
18.91753,5.226396,
30.369047,-28.69488,
1.7548062,18.71982,
16.78748,-30.30381,
0.884113,8.04633,
-4.6811285,55.14455,
-42.351505,20.40353,
11.725373,4.2219605,
19.764957,1.6788751,
-17.270174,-40.83334,
-7.2999644,71.326744,
-37.607002,-37.174896,
30.883123,12.509076,
-21.10152,7.109826,
-14.814785,58.971317,
22.122879,-4.1699495,
6.34367,22.52778,
4.2099843,-19.491919,
26.804863,-0.13415745,
-2.310531,-62.298325,
-25.56026,-11.83,
-22.748251,-56.210213,
15.164411,-51.56281,
-11.430787,14.552887,
52.310696,-27.388872,
-14.881748,5.7725363,
3.87554,-48.68284,
27.812899,-31.00736,
-10.180378,60.141422,
-48.638348,-0.9585846,
-21.178162,-17.22429,
-13.635358,-7.761822,
-20.614395,9.736261,
4.1291203,-27.380354,
22.420414,44.795635,
16.717651,39.78758,
15.448314,-17.515245,
27.072721,12.434712,
29.459213,-33.02445,
-20.682941,53.494087,0.0
-0.06816617,66.79477,
44.72729,-35.07207,
31.742556,1.0266038,
-8.229139,-47.41499,
13.787191,-26.287327,
1.8248427,-3.430155,
2.997276,39.61387,
56.961334,18.05417,
-1.2846704,54.95359,
-4.195742,-60.062702,
7.260901,-7.1004667,
-6.414419,6.5568614,
-31.342945,-34.372166,
25.117527,5.1511645,
-3.9172094,51.90366,
-20.545368,53.56307,
32.822224,-3.8979013,
32.459568,-2.4348786,
3.7358956,2.1541104,
-19.62141,14.566533,
5.6201897,1.7641727,
6.585807,-8.555259,
-24.431837,33.059,
-17.578049,50.804317,
-13.744445,-66.87455,
31.068459,-7.383478,
16.917776,-27.48475,
-5.532773,7.8735495,
5.26385,-23.633204,
-17.230522,-5.917188,
-30.698336,-17.715315,
33.17824,3.293345,
-1.5855541,-6.900883,
32.008797,0.8048566,
-6.2296453,57.560184,
-20.207453,27.34634,
5.77971,2.2643783,
-29.717491,-12.492393,
-13.189927,53.678734,
-15.767353,-5.695303,
5.418345,-31.878284,
24.870476,37.73912,
-6.7545485,4.7181854,
25.354053,39.85939,
-5.776972,45.526577,
-9.304628,58.409878,
-13.151396,-53.0151,
-0.6274495,3.177386,
-42.2603,-9.258566,
4.963556,11.983755,
-43.184242,-20.82658,
22.845564,-6.3774805,
-14.118045,-29.979134,
26.474787,-4.973799,
-12.800602,-1.3278517,
-8.071775,-52.63717,
-11.065688,6.1420283,
-4.3091717,-58.71679,
3.6277835,0.38274062,
