f_index,score_0,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9
0,0.004448765011750918,0.00441349018338414,0.0026276009291316825,0.0047563198110846675,0.003560293617809002,0.006078022419764393,0.004428520581429821,0.0036564690535042486,0.005323907965875017,0.004287217891092776
1,0.007207204502488402,0.0054372635203485415,0.004684314506111136,0.0056422784045802015,0.004563112758319148,0.004889461393682775,0.005893510484776971,0.005583321510957243,0.0053267933748146375,0.0052470967105064815
2,0.0006000798685369254,0.00045489725527533907,0.0004760785229015902,0.0007699947202718566,0.0009900147043383615,0.0010729796000877334,0.0007038944513124582,0.0007564270439675839,0.0007527645252838435,0.0003715387269323958
3,0.001374341017905889,0.00044697464645602255,0.0010858124436882552,0.0008264927064928687,0.0005662842223545874,0.0011135283422398963,0.0005773750641415961,0.0011828221604622373,0.0009295959809173047,0.0009425454963374088
4,0.0013537078881541628,0.000804285156970832,0.0009939659407820014,0.0015442426473439045,0.0011166341099395419,0.0011038346473540093,0.0020610064041546826,0.0014257695697897413,0.0016483383192080596,0.0006108682985135471
5,0.0030197179923574283,0.0018625017104672962,0.0017216900801080132,0.0026154133612041543,0.0019133062894099058,0.00233918890936424,0.0024207137873986572,0.0018375007193465857,0.001955968036420977,0.0023516442387599566
6,0.0033233534383821303,0.0036549044565010688,0.0029366789398743605,0.0031498297569345435,0.021650663581574074,0.002802533654183973,0.008528094652010543,0.0027305055943037076,0.002415285328120316,0.0020931765054131215
7,0.001487929523719708,0.002267605311243266,0.002533472612181001,0.0021112963505216533,0.0023009101299844136,0.0017498440209000796,0.0023774543502468105,0.0024603937914505166,0.0025975393935383224,0.0014125456666776671
8,0.0049661393301055085,0.004615250200884402,0.0055197797137498785,0.003784257458935419,0.005366491413392081,0.003305224043470786,0.004382246970168235,0.004708531412869853,0.005777741038333148,0.005654864180917677
9,0.005435639008323159,0.005340516237440758,0.004340159720104325,0.004851970898130671,0.004284742817541444,0.004613309273840077,0.005199355750555105,0.00560142393056267,0.005399241590121716,0.004782012638257207
10,0.005876118624603823,0.005166347114398704,0.004700606086268048,0.004695194975382434,0.003369865302351835,0.003782917755180825,0.0038407030975347416,0.004879911274727258,0.004245620214254122,0.004655268181928835
11,0.00664389598465419,0.004515558105495036,0.0054757248623687384,0.0040934572609552826,0.004670179655850135,0.0049203466917953215,0.004656004058911776,0.004615228861304083,0.005256882587476472,0.004010294703392237
12,0.00452398223006484,0.0033910701350820783,0.005851901373372713,0.004578001396308742,0.005342917815473146,0.003913407613811844,0.003649696813718421,0.00606810919370659,0.005488855556353583,0.003910409252747189
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0015859264546980612,0.0020716931329678783,0.0009748383405031871,0.0014080636091615502,0.002637239861517974,0.000999166364636778,0.00157438073838261,0.001204638067560545,0.0016773042248320823,0.0013264532445288525
16,0.0008090868350619579,0.0012573488838694576,0.0013124579163227641,0.001014618589622003,0.001276255894608893,0.0011586046586231217,0.0013407022353477474,0.0007976865083971776,0.0009930913262059574,0.0008172699929183062
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.001863647979325591,0.0015614548446384485,0.0020936639271791043,0.001357763913889105,0.0005473063521701357,0.0009339182942213427,0.0014185522199862996,0.0008927129881196498,0.001141381459917007,0.0016438615577208885
19,0.0012341342804444758,0.001861297473742436,0.0017107725238527216,0.0024234671785760414,0.0013064964620867182,0.001841005165125279,0.0016630026698872564,0.0014061858472076934,0.001435486613239422,0.0012530118310007604
20,0.0002537437112580522,0.000218196464960917,0.00012109930142717039,0.0002063120330099256,0.0003613724442363558,2.0000714311225978e-05,1.0127223241977352e-05,0.0,0.000322432150354576,0.000323218071524743
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,7.65333455785268e-08,0.0,0.0,0.0,0.0
