f_index,score_0,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9
0,0.0043268888584475935,0.005171408585149794,0.004156194112407113,0.003925725878262067,0.004017582065260915,0.0036000510333035743,0.005157173423559758,0.0041792996340016975,0.002467001037677456,0.005001916196032564
1,0.0037404658252863676,0.0042275881833863695,0.0055811505777420296,0.004794347369791148,0.0053476501629580505,0.0039985676091548635,0.005756115142987717,0.00485543849254676,0.00426924246341408,0.005015763703816246
2,0.0006095162998996587,0.0004929273627368964,0.0004672016390350156,0.0006223153262573105,0.0007205277642355385,0.0004299862536220552,0.00053800016396587,6.301590584508132e-05,0.00020048393054131363,0.0003899641784182766
3,0.0008005887269104277,0.0011822991070422513,0.00042799214800784473,0.002354194844781821,0.0006748789441662522,0.0005519276940718685,0.0004528328737858366,0.001903936658453136,0.0009904243124383638,0.0011143408161946966
4,0.0014011839957902427,0.0009058945269167056,0.0009677822229580305,0.0008107175463257339,0.0007661915426311163,0.001092817323339527,0.0012746367969622542,0.000854767894314363,0.0013279956567502711,0.0015657437841767857
5,0.0015542909855124905,0.0019997645563910055,0.0022200384879275475,0.002881271117084257,0.0021680895553391638,0.0021469576259553697,0.002236462574825779,0.0024502641533462118,0.002128859495242848,0.0030012752092755408
6,0.013138916013548024,0.0029534836927401975,0.0034686834965951324,0.003382679187487613,0.0030049863386087715,0.0015103063812782515,0.003737709849413662,0.004276726699422298,0.003321296333439707,0.0022307440111560294
7,0.0018470083765331088,0.0027069815409264683,0.002340883823615934,0.0030060930008999746,0.0026837236995656813,0.0027814701824525967,0.002424661870569024,0.002291153847226426,0.0011672646222770432,0.0022365702160846578
8,0.003995382629212252,0.004267101165851714,0.0038928994411985456,0.0037577620014885805,0.0032084866839785916,0.0033158354928022396,0.006654411530631799,0.0036238629213017036,0.00429507383922384,0.003056220284288026
9,0.004308554206234756,0.003916940255389878,0.0056282305729234644,0.004809968354377367,0.004700896151918874,0.00375753545677347,0.0058034535724254864,0.002949039241299322,0.0039913098223639185,0.0030138673698654897
10,0.003769458615793755,0.003943215546430893,0.004342486714682657,0.004275504033745214,0.004674773933918013,0.0033222138470965015,0.004787718772888967,0.003649117544703915,0.00277003746404373,0.00553056480385238
11,0.0049611401816937175,0.0036191035186567953,0.00370210676152471,0.003305281364035465,0.0043997827987599224,0.004391659846188602,0.0027249271435429894,0.00483258818109898,0.004678972633851014,0.004977788684886028
12,0.004336413237121872,0.004291755054742863,0.003963799313191208,0.005940218402514455,0.003806268932151124,0.004609591020575968,0.003896850658182055,0.005726961720443707,0.0038359416274126347,0.003897983431699846
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0009590528689017499,0.0013555277787176293,0.0011650549834438383,0.0008969136873863444,0.0010748946041894524,0.0008533204926636468,0.002656769843626947,0.0010188085592906526,0.0020389766201437225,0.0006037120712466265
16,0.00045790744262688265,0.001946371331710971,0.003789614745427277,0.00041395025608554617,0.0015090895861721136,0.001726045742572507,0.0014067321662253143,0.0010909116508129243,0.0011198852755318791,0.0008554099193564764
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0017122097131879285,0.0010901195962724237,0.0007983835030008872,0.002468484029712227,0.0013427524888350829,0.0007688237579567722,0.001289199644953817,0.0011079220739942078,0.00025872657956528707,0.0013690923189169492
19,0.0012983488424995755,0.001956973380158882,0.0010021325516959274,0.001558372518310744,0.0016244693907534562,0.0010196299532282765,0.0010421661095122994,0.001533952781061293,0.0011517174332641557,0.0011800272281877182
20,0.0004247469875159534,7.147567544461483e-05,0.00039741723307828243,0.00014014281565956542,6.071645415907711e-05,5.123123991791836e-05,0.0,0.000584187461391297,0.00013382466782975327,0.0001604649145632752
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0002598664238008501,0.0,8.062428495903915e-05,0.00035068599969057646,0.0,0.0,0.00012143290831815421,0.0002579147356289023,0.0,3.0358227079523085e-07
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.00015612802498048402,0.0,0.0,0.0
25,0.0,0.0005130728615731601,0.0002260243972194602,0.00031447702474139206,0.0002492514005533798,8.537657020426539e-05,0.00014714820526489514,0.0,0.0,0.00025605451450145975
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.00012143290831815418,0.0,0.0,0.0,9.107468123861566e-05,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0004195018565483157,0.00037591965513849836,0.0004015718112217608,0.0007020475733879235,0.000487753280087716,0.0009770463611912768,0.0003677184230097482,3.07137098322264e-05,0.000535573008250604,0.00014891103261522047
43,0.0002946700044382032,0.00036820120259190464,0.0005088745045672543,0.001084329366146857,0.0010439819616239593,0.0009511427102876377,0.0007145503170595775,0.000238174090633107,0.00039914522838020077,0.0
44,0.001155945086000502,0.0009556902135859809,0.0012215418749497884,0.0018466596321715413,0.0023449208492439654,0.0007362767817454963,0.0007421266002948504,0.0015786304200949587,0.0015718457287124958,0.0012507003860489435
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0003863797169030839,0.0,0.00013702342640332685,0.00019858126777488457,5.893789136047781e-05,0.0003455687248550892,0.0,0.0002746565096149739,0.0,0.00035873209780117634
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,4.245659030256848e-05,0.0,0.0,0.0,0.00027576756433044837,0.00011203382307839278,0.0,0.0,0.0,0.0001683130166736726
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0024471314706255697,0.003333865272901069,0.004862447078242512,0.0041113400008646024,0.004553445186752203,0.00509509049741203,0.004291632122096309,0.00311681969738696,0.003667446188590052,0.0036145713495868647
52,0.005861934507601148,0.003995321077962869,0.003964249095455716,0.005183538110250507,0.003651490969614374,0.0040774908927833,0.0051721223312857995,0.004360950294150174,0.003430742875397777,0.0040194221059098026
53,0.005342571275109648,0.004738441687723903,0.004246513575938956,0.005095400106361626,0.0046399212234215035,0.004354964336631793,0.006375464490682789,0.004886040622380369,0.0051513760136652886,0.004983311067574176
54,0.0043870244119750225,0.004708144056659355,0.004010422376007636,0.005437091639462847,0.005375118534234425,0.003932375448711449,0.004910765990218546,0.006096979622603263,0.0038455397380088518,0.005972329709004416
55,0.004189574438669028,0.004402598354181643,0.00450312234432827,0.005916685121653331,0.005252735323299045,0.003943568690944482,0.004189874683314819,0.00448211427690624,0.004570058026285245,0.004978015322082823
56,0.004436382358720273,0.004831430872650172,0.004070205348852709,0.0033998786691947563,0.0035355138884360544,0.00433806023652403,0.0049213413980932,0.004191016753582114,0.0037970140153292782,0.0039722651297459804
57,0.004103374825206377,0.004407160127440607,0.004069095711463856,0.004812327953482893,0.0035683171591418044,0.004396445803071291,0.004956661610821549,0.0035120702354943926,0.00429480738906888,0.004414585662123574
