f_index,score_0,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9
0,0.004306755116459722,0.004527124576103275,0.004619134817935684,0.004087939387911732,0.003648863966716187,0.00537355029110795,0.004949636261467621,0.005091320087916449,0.00530578860965324,0.004394489571845484
1,0.0050065095855516785,0.004687648099800912,0.004517613560292944,0.005307451080084053,0.0041314106949434885,0.004037208556075963,0.005623071035163365,0.004446629274100134,0.004968254334797647,0.0064266119448942085
2,0.0003567266303674321,0.0003137339564634477,0.0006744197902893995,0.0006032795811048758,0.0002870916133226805,0.0004420372990093539,0.0004284514897111965,0.0003842595095682901,0.0004863172374531586,0.0003966150503118051
3,0.0010857870220934256,0.0015247293249793918,0.0008178757760854636,0.0014814600519854,0.0024016677445520547,0.0014691139055564837,0.0007652239886450851,0.0015206750542846787,0.0015070106625505886,0.0017380436579204754
4,0.0007673080445832762,0.0006359762487582032,0.0004983400397988183,0.0008879358137135451,0.0003014875624347596,0.0007575275946187436,0.0009726285554288623,0.0008958167068121373,0.0013706925758580533,0.0010727787320371108
5,0.0023567317024057012,0.0021915468945717708,0.002311891520421362,0.002138707341878989,0.0020440007274783118,0.0018641591787975863,0.002146650230678229,0.00246587195932447,0.0030840891584203354,0.0034936577222435114
6,0.0025762115764600526,0.003599573561614347,0.0031126660504650467,0.003066068890543683,0.0026903464110919683,0.002082516014018717,0.0035051543941444297,0.0041436720080935165,0.0028116010304973112,0.002826997269971943
7,0.0019637126096907712,0.002042465421659966,0.00370534779288793,0.0007026528010406817,0.0020849354817987662,0.0017335642744815264,0.0010677325316381973,0.0014616673216247306,0.001519837887413327,0.002375388104989373
8,0.00424292235538394,0.005312566570890376,0.005346943569656719,0.003204346596327917,0.0032107003060343024,0.0039222954320672155,0.0029493722508806466,0.005133846652273285,0.005352779177156087,0.004105754324897256
9,0.0039789442118231344,0.004785896869322229,0.004772256263596943,0.005322001403120941,0.004186679082354258,0.00441218239293177,0.004863641416741285,0.003723197920016173,0.0036133142220101688,0.003463928245431283
10,0.005514023393363362,0.004742756015852015,0.005273077838141986,0.00583558722535111,0.004606836741137541,0.005020696947532054,0.003818328805096788,0.0041710120507753735,0.004878473823649716,0.004201940065702076
11,0.0041700371561794744,0.004227866452154325,0.005448974182109187,0.006308960709167031,0.0044384834193341915,0.00491833587304131,0.004685887261484043,0.004520801901660388,0.004907982763762385,0.003613502980392972
12,0.0034554832261917585,0.005432381167286887,0.004268256531738686,0.004501467021971156,0.004131512154183747,0.00513136668002648,0.003270375193970317,0.00440024302796733,0.006953739455716659,0.0036963491798430595
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.001810564980989361,0.0011841324304710048,0.0008336844450595249,0.0008268884836674107,0.001131902583043166,0.0008456782632584528,0.0016603883267083518,0.0009067445435004392,0.0009653811475927003,0.0012923662141363702
