f_index,score_0,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9
0,0.003658101500630483,0.004232854655130366,0.004181711657001595,0.002926114846807622,0.003973351299285237,0.004114690563017431,0.004425856976360124,0.003947201578362677,0.004889982238091101,0.006041617673272971
1,0.003981140549879455,0.004796752573727239,0.005084674169846685,0.005281902508404597,0.0037048886433437137,0.0038288024532964282,0.004271257822886549,0.004240505793434982,0.004139206706312613,0.003672046523634244
2,0.00020634373457263042,0.0008555778158414722,0.0007601631332628549,0.0005822461940477479,0.0007829895007291851,0.00033942094286321686,0.0003388918153392114,0.0006457260468323964,0.0007943748425374719,0.0007384480249602328
3,0.0001869444646341914,0.000734471467142466,0.000751325617730665,0.00046700085618007917,0.001171361608894093,0.0006957693525701124,0.0012599293915231651,0.000737894362276613,0.001032822662450192,0.0007243071476311546
4,0.0014272462813934524,0.00048110826241060215,0.0009106560684484219,0.001363474257636567,0.0009001553777909547,0.0014354619790841801,0.0005707814682592903,0.0015011802609157673,0.0010243081187976135,0.0012074928539969301
5,0.002063318900521539,0.0016530449955601979,0.0012876542293246617,0.0025006272678099557,0.004539998160958808,0.0021586032345818932,0.002283481934424363,0.0017632837190634527,0.0027485964272156655,0.002188545760937498
6,0.002362115705252574,0.013700371084743678,0.0034834820478470358,0.0026216516223372946,0.002420417362881422,0.004096674760339094,0.0035617555144277736,0.004720734380820434,0.002916798787305346,0.0032257742463465606
7,0.003018182637700587,0.0035909051067069576,0.0014285751269584898,0.0036834585560498482,0.010221143839245213,0.002974040585781665,0.0020449105179787086,0.002513755292895521,0.0024999179265376655,0.0031380693084771204
8,0.004421517759153186,0.005105991964658341,0.0033932545725693618,0.0036178952912935174,0.0034656946787136877,0.004180324017280363,0.006354690840621562,0.005586591207523977,0.0045158608800801615,0.00536037795890004
9,0.005299646671549636,0.004961723696982359,0.005413786636044483,0.0052925913084344006,0.004615169761638107,0.0035223219671831224,0.004655197916839838,0.005104664090098232,0.004377054650619781,0.004339538989886069
10,0.004138185446565122,0.005217670245103488,0.005780433523766036,0.004065567645302643,0.003926995575321083,0.00485167998400011,0.004294635489396954,0.004346433480494129,0.004325828497672123,0.005474252822182635
11,0.005421962299433367,0.004671800132816504,0.004248589998747338,0.0037997116192878587,0.004865182216102769,0.0051627581676244915,0.005336920407248933,0.004604345188050442,0.003929984783862783,0.004701577429092109
12,0.0036111833985053737,0.0039024180516452262,0.005025232021669782,0.0048669292320313706,0.0051895072046974095,0.004300055922977909,0.0057680125731536655,0.00414255822661854,0.004900248167280162,0.00403131408046917
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.000743970748293339,0.0018666779327740004,0.0016603342398099942,0.0012107419226829127,0.0011179906382413614,0.0007272747788501065,0.0011424159545700798,0.0012977478331522938,0.0016018959832079034,0.0012578139082709198
16,0.0007617182262988761,0.0010380026375525677,0.002696138005601624,0.0007173134018279584,0.0016403938400294793,0.0010640159058110147,0.0007330605139042679,0.0012657135133036187,0.0011232253718315025,0.0016574401632783984
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0014805871526683112,0.0012851230189012415,0.0008969084467427627,0.0008983451597634577,0.0011168542783849581,0.0015699906022710306,0.0006187749646297187,0.0014932829989259537,0.001161049744811176,0.0010601211777244858
19,0.0007750010790868733,0.0018783530783668362,0.001450401863502107,0.0011277494115290469,0.001840235788348979,0.0012886322469207157,0.0017443225024034539,0.001979027088378416,0.002046613730517094,0.0011610180605176835
20,8.363379710492993e-05,6.853272599605639e-05,0.0,0.0,6.053787635272691e-05,0.0,3.919056181048176e-05,8.958165367732772e-05,6.611112168889054e-05,9.107468123861566e-05
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.00010350068726718169,9.772457859889552e-05,0.0,0.0,0.0,0.0001613615195088436,0.0,0.0005011449105463318
23,1.0508617065997315e-06,0.0,0.00012143290831815421,0.0,0.0,0.0,0.0,0.0,6.308203029514455e-06,0.0
24,0.0,7.83438118181641e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.00029251749592560614,0.0002995306237239162,3.1623153207852673e-05,0.00016327873487518394,0.0003721667295381588,0.00026135393286645913,0.00028984977258109877,6.198138028739119e-05,0.00020047392487607777,0.000599469382504319
43,0.0,0.0004165828323516777,0.00017068773797213245,0.0,5.9821444889157044e-05,0.00019329532391887432,5.8605989174938146e-05,0.0001601049765854638,0.0004159066777685937,0.00022545715853948797
44,0.0019154254944956325,0.0020084961299913907,0.001864210658357372,0.0013604759232731503,0.0010388842289058141,0.0012662109326254177,0.001439453220164521,0.0013031081527647647,0.0016473286695622852,0.0009660341547102532
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.00010289872294437543,0.0,0.0,0.00023475880784898248,0.0,0.0,1.5179113539769283e-05,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,3.0358227079538546e-05,0.00012826350941105036,0.00014667173971391205,0.00010587630373485578,0.00013953279896250877,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.004091210469282706,0.004739686806516557,0.004463959399983614,0.005254596373115218,0.005445239972663833,0.004814350394595158,0.0061713926671727246,0.0038664995388712417,0.005789897269254529,0.004492695837644354
52,0.004550849493205275,0.005371807667507626,0.005112635570078149,0.0053070433579845795,0.005841011503794445,0.005782394071235346,0.004767372185824447,0.0037584293250352506,0.006235855772312365,0.003191151465977828
53,0.00406134530474576,0.004389729047815908,0.004458832824854701,0.0047948051237419785,0.004910523420810459,0.003553265410020251,0.005907847171036347,0.0038708919943091155,0.005009172741593583,0.004621742149288206
54,0.004701928118378669,0.004132396578149382,0.005190762809028178,0.0036896732180910627,0.005905697913461,0.00524426949719491,0.004271342767486085,0.005809655348038922,0.003486928852739087,0.007255544632791247
