f_index,score_0,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9
0,0.003439889548206793,0.0030403823076863897,0.0032105386591779325,0.0035042455726981654,0.003466184459131265,0.0030408834509479113,0.0037983313796143654,0.003512261287162248,0.0034029112761290482,0.003085295058220465
1,0.0033584800868674825,0.0031696332783996742,0.003131815229212024,0.003171968591777594,0.003082815908523298,0.0037644544888008973,0.00327116578967399,0.0037011642529164793,0.003865033389041229,0.0031525434920480337
2,0.0005511026600133024,0.0006077007958901243,0.0005210320501241028,0.0007119723147017888,0.00041090116427944793,0.0009943539210395204,0.0007508525607800105,0.00046572296569052685,0.000635375812422668,0.0006139880673649849
3,0.0011920644493688397,0.0013882610060568731,0.0013930986985727192,0.0012572548812774412,0.001154116616396135,0.0011892062027162977,0.0018024622160316309,0.0012577839870370415,0.0014856418617138442,0.0013591607506305884
4,0.0016603606111717784,0.0014860223086350392,0.0011110097627457286,0.001544134135259078,0.0011294787609270323,0.00121774250264161,0.0010997963384410878,0.0013567117763527584,0.0012509856242210226,0.001623526328794187
5,0.0007561220024466153,0.0006848104817534162,0.0009798665481891942,0.000748456588168555,0.001009332662963001,0.0006235511511448654,0.0008442446941420394,0.0006431544587363722,0.000835737745295859,0.005722080499490775
6,0.0013738226692403014,0.0013845160130355877,0.017919093666601858,0.0015138679361776917,0.0014650192635573545,0.0014566561728372909,0.0012897038255092245,0.0012426335014652358,0.005275824979357534,0.0019505141952300264
7,0.001205315015738405,0.0011057997640099872,0.0008710946499302173,0.000959621768703496,0.0008094129082127349,0.0008028671551656485,0.0009125414081538339,0.0010349153463257267,0.0010067530108049045,0.0008446148557614185
8,0.003695898054832002,0.0031501253807104702,0.002956960433102101,0.0036951157426787506,0.003172792600579917,0.003499630745100074,0.0032636872707458298,0.003448277175112008,0.002980707212939666,0.0035608029748337663
9,0.0037032828423043973,0.0031038135024368564,0.003953157607004476,0.003910216633088531,0.003135440277736494,0.003652055220437443,0.004040684778549915,0.0032005968723282908,0.0032086712374240433,0.0036170745557077945
10,0.003190767291949595,0.0028685629240810607,0.0038108532140949543,0.0031017828123724514,0.0032233424494144797,0.003434739742859855,0.003547045977128406,0.0029480641027147254,0.0032379824341268056,0.003644002687939502
