f_name,mean
HEIGHT_NM,0.0034042952547998244
WEIGHT_NM,0.0034879024635427096
OPC_ID_1.0,0.0005843520661640942
OPC_ID_2.0,0.0013816552232523232
OPC_ID_3.0,0.0014606145267718963
GCSE_NM,0.0009453772432752112
GCSV_NM,0.002756913451974984
GCSM_NM,0.00123108416557726
SBP_NM,0.0033355179595842242
DBP_NM,0.0035035110964332173
BT_NM,0.0033304971078955935
HR_NM,0.003301871776618484
RR_NM,0.0031234357939018947
ICD_ID_1.0,0.0010482811532649989
ICD_ID_2.0,0.0011232656104463695
ICD_ID_3.0,0.0
ICD_ID_4.0,0.0
ICD_ID_99.0,0.0
ICD_CODE_430.0,8.41635946257453e-06
ICD_CODE_431.0,1.2063424989012597e-05
ICD_CODE_432.0,1.514915584700907e-06
ICD_CODE_433.0,0.0008937141583461797
ICD_CODE_434.0,0.0021030934705068933
ICD_CODE_435.0,0.001079216131775081
ICD_CODE_436.0,0.0017505856945944473
ICD_CODE_437.0,0.0006269198268100391
ICD_CODE_438.0,1.1656079079093847e-05
TOASTLE_FL,0.0010785830180053703
TOASTLI_FL,0.002006372509038006
TOASTSCE_FL,7.4880415792533555e-06
TOASTSMO_FL,0.0007628940221011295
TOASTSRA_FL,0.0015522470961210795
TOASTSDI_FL,0.0001998350345843251
TOASTSMI_FL,0.0
TOASTSANTIP_FL,6.645275128046714e-05
TOASTSAU_FL,5.6669650920293525e-05
TOASTSHY_FL,0.0
TOASTSPR_FL,1.647411131433742e-05
TOASTSANTIT_FL,2.7771387868224747e-05
TOASTSHO_FL,1.077677198185101e-05
TOASTSHYS_FL,4.1497917158052005e-05
TOASTSCA_FL,6.46659152203954e-05
THDA_FL,0.0006732204354725866
THDH_FL,0.00042437818373827687
THDI_FL,0.0015575838495201354
THDAM_FL,0.00010326312283285095
THDV_FL,9.089903978328044e-05
THDE_FL,8.990727888629423e-06
THDM_FL,1.0205311208771422e-06
THDR_FL,2.0479767230990064e-06
THDP_FL,6.793954407634955e-06
HB_NM,0.003783369343793818
HCT_NM,0.0036168041520297173
PLATELET_NM,0.0034222484600298538
WBC_NM,0.00333945265025534
PTT1_NM,0.0032459342495095187
PTT2_NM,0.003259448212134638
PTINR_NM,0.0032770033016539476
ER_NM,0.003309926873845533
BUN_NM,0.0033355904163867743
CRE_NM,0.0033298687046495233
ALB_NM,0.002921036690926232
CRP_NM,0.0024240018759669997
HBAC_NM,0.0029785502745638573
AC_NM,0.0031316374160553274
UA_NM,0.003319694398179499
TCHO_NM,0.003381422352870376
TG_NM,0.003304088634963933
HDL_NM,0.003328564256778645
LDL_NM,0.0032105328175479216
GOT_NM,0.003168334575686673
GPT_NM,0.0032598408992537144
TRMAN_FL,0.0016824423613047584
TRMAS_FL,0.001633844305856689
TRMTI_FL,0.0013128745876039012
TRMHE_FL,0.0008595069053656829
TRMWA_FL,0.0011072518091661346
TRMIA_FL,0.00046312372265380015
TRMFO_FL,0.00399458544166132
TRMTA_FL,2.3821316648904994e-05
TRMSD_FL,0.000324375446772485
TRMRE_FL,0.007019360415527351
TRMEN_FL,0.0001250698246864611
TRMAG_FL,0.00046291860537176974
TRMCL_FL,0.0018156240062879754
TRMPL_FL,0.0002626156830674353
TRMLM_FL,0.0009343738608879413
TRMIV_FL,0.0005295470489428461
TRMVE_FL,0.0003129246802027993
TRMNG_FL,0.011202453595440781
TRMDY_FL,0.0019268785807169564
TRMICU_FL,0.0007618265618203333
TRMSM_FL,0.001689064575210687
TRMED_FL,0.0016676633112777876
TRMOP_FL,8.051876128387968e-05
OMAS_FL,0.0026987401231200587
OMAG_FL,0.000691342651895327
OMTI_FL,0.0006438548587773989
OMCL_FL,0.0016536547972826054
OMWA_FL,0.001063809065447527
OMWA_TX,0.0010822950387477169
OMPL_FL,0.00027180030578458715
OMANH_FL,0.002636572242114701
OMAND_FL,0.0022268713988333783
OMLI_FL,0.0023962825207898574
AMAS_FL,0.0019108989038786935
AMAG_FL,0.0002957685758756427
AMTI_FL,0.0003259782265142497
AMCL_FL,0.0009664995134231406
AMWA_FL,0.0005644682950244897
AMPL_FL,0.0001371674329214532
AMANH_FL,0.00253507253746145
AMAND_FL,0.0021460565971807887
AMLI_FL,0.001382109297771428
COMPN_FL,0.0003719932991501575
COMUT_FL,0.0006685423285525205
COMUG_FL,0.000290697246642459
COMPR_FL,8.861204492795072e-05
COMPU_FL,3.227357901787379e-06
COMAC_FL,2.3634893827196354e-05
COMSE_FL,0.00012134230284573152
COMDE_FL,9.042017905742802e-06
COMO_FL,0.0005672310828104697
DETST_FL,0.001783617775584802
DETHE_FL,7.3789797556585625e-06
DETHO_FL,0.00024058926653769812
DETHA_FL,4.765622037007772e-06
DETVA_FL,1.9923804477707852e-08
DETRE_FL,0.0
DETME_FL,0.00011273598749750721
OFF_ID_1.0,1.3031716430071219e-05
OFF_ID_3.0,1.2208192780848028e-05
OFFDT_ID_1.0,0.007074830553923319
OFFDT_ID_2.0,0.001347362322249214
OFFDT_ID_3.0,0.0011852975458173623
OFFDT_ID_4.0,3.499533854685957e-07
OFFDT_ID_5.0,0.000661302060940866
CT_FL,0.0025375878441753546
MRI_FL,0.0002910791078120697
ECGL_FL,0.001667961440791004
ECGA_FL,0.001341019343023241
ECGQ_FL,0.0004169017082664453
MRA_FL,0.002607191847460529
CTA_FL,0.0006069385179639699
DSA_FL,0.00018175274121496658
GENDER_TX,0.0026893031504169793
onset_age,0.00492568311123727
Feeding,0.033487892189714666
Transfers,0.04733450437141393
Bathing,0.050334904237628986
