f_index,score_0,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9
0,0.003357402361877861,0.0047574692763909954,0.0031577965607508434,0.004340891486909516,0.004433330270899866,0.0057422443040452496,0.004534512072831921,0.00433776418308663,0.005225757525998867,0.00516557586040157
1,0.0030546890685261368,0.003757625635519149,0.003585273883504443,0.0056835842937159615,0.004067925216832475,0.0030736867822262204,0.005157568057788832,0.004694632097480796,0.0039103703850453435,0.004513589720283764
2,0.000376277246100777,0.00046834311181645824,0.00019089410892689587,0.000498061249730952,0.0004085920598396207,0.000216760922074157,0.00042861563451858636,0.0005266466763302731,0.000286065899566025,0.00041589262607314803
3,0.0011969638196662842,0.0013077899331029458,0.001343171101954695,0.0013042301925100682,0.0013022788821454338,0.0014605763634128314,0.00081736144287718,0.0010840238016006985,0.0012964716682981638,0.0012570240856142596
4,0.0011254039011430734,0.000985196977638267,0.001055939428119742,0.0012766745706742672,0.0013827407835243597,0.0014338321853753586,0.0011938079846714785,0.0013758248055940375,0.0011170841477460113,0.0011188292780425373
5,0.0010987043419927755,0.0017518100176185688,0.0017349419448974824,0.0021051867391627135,0.0018712834289272315,0.0017721172316825348,0.004180121803694656,0.0018172536195031174,0.0017993375971198217,0.001510268429626972
6,0.002262168497887182,0.0034195538717779533,0.004049523482522621,0.0014149369838065097,0.0019360960272643835,0.001865539730604353,0.0037944056311806653,0.002123159036654911,0.002229804845558586,0.0032363829589828036
7,0.0021835719992323835,0.0013603672109972005,0.0009968433596949865,0.0042542228545144785,0.001962568223102707,0.001242921797279819,0.0020855469049420967,0.00164472214183302,0.0017056586225126288,0.0033971835065556037
8,0.00559634248229584,0.005741060286672796,0.005396221173696408,0.00491272481669025,0.004497254206326176,0.004799828464049716,0.003934291287579251,0.005325555397502008,0.0035684455587325164,0.0050265515618379535
9,0.003958348319895075,0.0049948542772120805,0.006546615342528863,0.0037936072576807423,0.004334037713121207,0.003913005257720298,0.004591193275061098,0.004556281374304193,0.005574867320657142,0.00486823282172025
10,0.005699915675349306,0.005443407789407782,0.003791778191637166,0.004944514621732688,0.0044194229910313795,0.004758889098679292,0.006281141868902584,0.004468727642776609,0.004506301585640743,0.004431257795149051
11,0.0046157341335549915,0.0038940509091950648,0.003943189216232865,0.004909205070865624,0.005170564299535503,0.005636190275151269,0.004149121530895528,0.004480509890201925,0.005678049419015644,0.003750134939943203
12,0.0045492134385896246,0.004561063827353329,0.003367408520142695,0.005488241204870836,0.003949033599767417,0.006596274805000202,0.005499187301967746,0.003742229080727383,0.003431639989903568,0.004602153703989254
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0010230078355588324,0.0015772889682615261,0.0021389391421406953,0.0007589873837552938,0.0015842330206466211,0.0009093724031576513,0.0015544682853666047,0.0011625908338697502,0.0015655833510876734,0.0019952919135189395
16,0.0011332719132075622,0.0009585280810218835,0.0016438418367166556,0.0019454805896491404,0.0013927593399642422,0.0008834047135153598,0.0008037669585225414,0.001266118168794203,0.0016287674523049332,0.0009115457221493791
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0022566665052806177,0.0015602295241034078,0.000894787134677602,0.001191696118708525,0.001499774035892146,0.0019148444414676057,0.0009648946055753824,0.0008505765786387636,0.0020415731697137843,0.0015182854845884944
19,0.0018250363702214264,0.003992936153232784,0.0012827041155346725,0.0015645534901904058,0.0010093113350349472,0.0023317223589206194,0.001045610577549806,0.000945098623137213,0.0018524124719992287,0.001535964907705324
20,7.285974499089253e-05,0.0,0.00011051415101559709,0.00011480929513716409,0.00010625379477838498,0.0004004621304386349,0.0005569665492012345,0.0005094808441983413,6.888001102080183e-05,5.69894862469923e-05
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,9.107468123861566e-05,6.86299442658961e-05,0.00013795771117303173,6.688338258936239e-05,0.00015910031793138518,0.0,0.0,0.0003764698165802037,0.0,0.0002905211730983747
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,9.107468123861536e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.37522768670309e-05,0.00023434761139679247
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,5.519677650825188e-06,0.0,0.00012143290831815421,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0005043227250099466,0.0,0.0,0.000192018904210326,0.00017899047513008184,0.0007825061660837868,0.00023226723055828034,0.0002343525093021782,0.0003765905130540667,0.0004891178482147254
43,0.00018960625371107774,0.00027586584963634156,0.0004660519461161624,0.00037169925169496545,0.0003067405468562653,0.00056457231811306,0.0005673278979942403,0.0006344080242082831,0.0005917554511409918,0.00013964784456587726
44,0.0011557597767177564,0.0021802730115167345,0.0015713891457431097,0.0011963795730184966,0.0008774136205299363,0.0017246505111815683,0.0019683242066500573,0.0017133756279209221,0.0006614067824736926,0.0010351061110251756
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.00025934599705091505,9.592514985094825e-05,0.0,0.0,3.2302349995962405e-05,0.0,0.00017107274183826479,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.00013992382844841867,5.464480874316942e-05,0.0,7.589556769884643e-05,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.004387848757113751,0.004561492359017216,0.00493534303764071,0.0051135385332945135,0.004512431322566219,0.0062839909508560455,0.004456511077608224,0.005609182712770895,0.004785642199827185,0.0049004256451738734
52,0.003787271090483679,0.0031947067325282545,0.005497646000637641,0.005278638356577175,0.005448009888805591,0.0037694986624013183,0.003488215557024907,0.005390078266396688,0.0032900995099918082,0.005318556598335556
53,0.0034440878201242022,0.00470271441962291,0.004893064093517865,0.005481565592823695,0.005706851063090645,0.0037591598389994825,0.0054790340533176895,0.00537547462583861,0.005723715289635804,0.004444836970414631
54,0.005234652978142507,0.004821610126867666,0.005913630609257963,0.005440870651417797,0.005028886186705652,0.004529604160264775,0.003824688769365904,0.004946611560346659,0.004099066554915454,0.0063556288983786765
55,0.00473870527387941,0.003178849684403129,0.005081005906770629,0.004666914720054792,0.004707676579368306,0.003713631117418302,0.0048383083706908855,0.004651807093490746,0.005534774018177034,0.003215716489756109
56,0.004163913549059362,0.0038770787496724282,0.0055252605528763096,0.005211968318491559,0.005152957221849665,0.005269924004163339,0.004610718982095372,0.004579767209576846,0.0052532657121884185,0.005371128386067081
57,0.003272758247417313,0.004092645048881958,0.005401309318932339,0.005448844997003395,0.005638425348256378,0.004261935400180464,0.002693450479434658,0.003845502576380186,0.004101197180653716,0.003497663960233112
58,0.0045941500352136575,0.003868538102973623,0.0034589742266457483,0.004436823168499493,0.0038794822307824128,0.00504112902040189,0.004191118799373851,0.00304549722507842,0.004774202258159936,0.005995407776380099
59,0.005305386208505712,0.004565538614022006,0.003136653211048388,0.006188651458849889,0.005358058689501477,0.006676503029390449,0.0046201706035906695,0.0038187309585689827,0.005108996519416362,0.0038688213309231506
60,0.005166061304454109,0.004322946022446933,0.005157849319013853,0.005809614178163918,0.005280389611511312,0.00543568957906587,0.004235745990080778,0.005307985701658897,0.004035944501554319,0.004397897748530264
61,0.0035471814197695203,0.005041188748681429,0.003603690006473352,0.003916676923973186,0.0034977324614845024,0.0033443226552044513,0.003150300156225712,0.003806265085123977,0.004394938639095461,0.0037090840409046977
62,0.0031090864185781553,0.0028747744105432826,0.004142007269644588,0.002935890113141276,0.003229882944493488,0.0030249979358297017,0.0037472417676238266,0.004187455403601958,0.003957048948834415,0.00334143748091681
63,0.0033021268945651492,0.0022084373612143208,0.002416313273947132,0.002686683312592904,0.0035412281577138745,0.0015040094589708888,0.0031914639898317637,0.0029721952017117406,0.003249268511547103,0.00248565074173186
64,0.0035977172190449582,0.004292230647135608,0.00335787125086077,0.0038338582841571716,0.004435435305971571,0.003218083406371787,0.0030878461532829454,0.0043724914070770405,0.003898623857345352,0.004256274532497499
65,0.0031521249797445998,0.004418873638703755,0.004460619538141138,0.0040539977282391315,0.002341631125779891,0.003202853480149987,0.0032845135909325687,0.0026330322103898093,0.0034061562604714595,0.0035808414666840074
66,0.004778589475898444,0.0037672680036451777,0.002696028808332821,0.0036815478618484566,0.0037804570021986823,0.004380126126108221,0.004207026680238576,0.003967327848815896,0.004218052029030266,0.004442410460799391
67,0.0038782107363233807,0.003362687131174754,0.004067889373383463,0.003157617593706191,0.0051387959311932924,0.0028639221345696077,0.0051665956726595404,0.004860223150471778,0.0035678914950136352,0.0027651102564306075
68,0.00441885758909791,0.004242379536517902,0.005521100490351126,0.003873337480523261,0.004668436024298639,0.005008994219530168,0.0037986768916847312,0.0036725697856319086,0.0035302979420074833,0.004757928198369752
